translation
"{'tr': 'İzlediğiniz için teşekkürler.', 'pt': 'A descrição desta série foi feita pela Maya Film em parceria com a Associação de Descrição Auditiva.'}"
"{'tr': 'İzlediğiniz için teşekkürler.', 'pt': 'www.associacaodescricaoauditiva.com'}"
"{'tr': 'İzlediğiniz için teşekkürler.', 'pt': 'Autor de Texto de Descrição Auditiva e Dublador'}"
"{'tr': 'İzlediğiniz için teşekkürler.', 'pt': 'Foi realizada pela Associação de Descrição Auditiva abaixo.'}"
"{'tr': 'Hayatta her şeyin telafisi var...', 'pt': 'Autor de Texto de Descrição Auditiva e Dublador'}"
"{'tr': 'Ölümün yok.', 'pt': 'Dublador abaixo'}"
"{'tr': 'Hayat...', 'pt': 'Autor de Texto de Descrição Auditiva e Dublador'}"
"{'tr': '...mutlu olmak için ödediğimiz bedellerin toplamıymış aslında.', 'pt': 'Dublador abaixo'}"
"{'tr': 'Ve hayattan hiçbir zaman ümidini kesmemek lazım.', 'pt': 'Autor de Texto de Descrição Auditiva e Dublador'}"
"{'tr': 'Ne zaman ne olacağı ve sizi nasıl şaşırtacağı...', 'pt': 'Dublador abaixo'}"
"{'tr': '...hiç belli olmuyormuş.', 'pt': 'Dublador'}"
"{'tr': 'İyisiyle, kötüsüyle...', 'pt': 'Dublador'}"
"{'tr': '...en beklenmedik anda gerçekleşen mucizesiyle hayat hepimiz için.', 'pt': 'Dublador'}"
"{'tr': 'Ve ben bu hayata her şeye rağmen çok seviyorum.', 'pt': 'Dublador'}"
"{'tr': ""Ama en çok da Ferit'i seviyorum bu hayatta."", 'pt': 'Dublador abaixo'}"
"{'tr': 'Ve bu yüzden...', 'pt': 'Dublador'}"
"{'tr': '...bitsin istemiyorum.', 'pt': 'Dublador'}"
"{'tr': 'Hayatın sürprizleri hepimiz için sürsün.', 'pt': 'Dublador'}"
"{'tr': 'Yaşamayı çok seviyorum ben.', 'pt': 'Dublador'}"
"{'tr': 'Ölmek istemiyorum.', 'pt': 'Dublador'}"
"{'tr': 'Zehra?', 'pt': 'Dublador'}"
"{'tr': 'Zehra?', 'pt': 'Dublador'}"
"{'tr': 'Zehra!', 'pt': 'Dublador'}"
"{'tr': 'Zehra!', 'pt': 'Dublador'}"
"{'tr': 'Ah!', 'pt': 'Dublador'}"
"{'tr': 'Hasta!', 'pt': 'Dublador'}"
"{'tr': 'Senden saklıyordu, hasta!', 'pt': 'Dublador'}"
"{'tr': 'Ölüyor!', 'pt': 'Dublador'}"
"{'tr': 'Ölüyor.', 'pt': 'Na vida, tudo tem compensação, menos a morte.'}"
"{'tr': 'Ölüyor.', 'pt': 'Na verdade, a vida é a soma dos preços que pagamos para ser felizes.'}"
"{'tr': 'Zehra ne oluyor?', 'pt': 'E nunca devemos perder a esperança na vida.'}"
"{'tr': 'Ah!', 'pt': 'Nunca se sabe quando algo irá acontecer e como isso irá te surpreender.'}"
"{'tr': 'Zehra!', 'pt': 'Com suas alegrias e tristezas, com seus milagres inesperados, a vida é sempre para todos nós.'}"
"{'tr': 'Zehra nereye gidiyorsun?', 'pt': 'E eu amo muito essa vida, apesar de tudo.'}"
"{'tr': 'Ah!', 'pt': 'Mas o que eu mais amo nesta vida é o Ferit.'}"
"{'tr': 'Zehra!', 'pt': 'E por isso não quero que acabe.'}"
"{'tr': 'Ah!', 'pt': 'Que as surpresas da vida continuem para todos nós.'}"
"{'tr': 'Zehra!', 'pt': 'Eu amo viver muito.'}"
"{'tr': 'Zehra!', 'pt': 'Não quero morrer.'}"
"{'tr': 'Altyazı M.K.', 'pt': 'Zehra!'}"
"{'tr': 'Bir kere ölümle yüzleşince, başka biri oluyormuş insan.', 'pt': 'Zehra!'}"
"{'tr': 'Hayatta olmaz dediklerini oluyormuş.', 'pt': 'Zehra!'}"
"{'tr': 'Onsuz nefes almış.', 'pt': 'Zehra!'}"
"{'tr': 'Nefes alamam derken, bir bakmışsın asıl onunla boğuluyormuş.', 'pt': 'Zehra!'}"
"{'tr': 'Bunu da ancak yeni biri olarak öğreniyormuş.', 'pt': 'Zehra!'}"
"{'tr': 'İşte o zaman, seni boğan değil, sana nefes olan biri giriyormuş hayatına.', 'pt': 'Zehra!'}"
"{'tr': 'Sen bana ne yaparsan, sen de ne yaparsan.', 'pt': 'Doente!'}"
"{'tr': 'Sen onu burada bırakalım içeri.', 'pt': 'O que você estava escondendo, doente?'}"
"{'tr': 'Sen beni bırakamazsın ki.', 'pt': 'Está morrendo!'}"
"{'tr': 'Ben de seni bırakamıyorum.', 'pt': 'Estou curando.'}"
"{'tr': 'Ablacığım çocuk musun sen son dakika denize mi girilir ya ıslak ıslak bineceksin arabaya.', 'pt': 'Estou curando.'}"
"{'tr': 'Tamam abla geldim ya Allah Allah aşkım aşkım hallettin mi hazır mı her şey sığdı mı?', 'pt': 'Estou curando.'}"
"{'tr': 'Az kaldı sevgilim.', 'pt': 'Estou curando.'}"
"{'tr': 'Canlarım bir tanelerim lütfen hadi artık İstanbul sınırına girebilir miyiz?', 'pt': 'Estou curando.'}"
"{'tr': 'Bizim yarın düğünümüz var çünkü biz hala burada kamp yapıyoruz hadi.', 'pt': 'Ofstein, o Kresse!'}"
"{'tr': 'Ablacığım bir şey olmaz ne olacak ya bak.', 'pt': 'O quê?'}"
"{'tr': 'Çok iyi olmadı mı bence böyle düğün öncesi bir stres attık burada.', 'pt': 'O quê?'}"
"{'tr': 'Çok güzel oldu çok iyi geldi ama biz burada oyalandıkça benim o bütün stresler bana geri dönüyor.', 'pt': 'O quê?'}"
"{'tr': 'O yüzden hadi bakalım gidelim.', 'pt': 'O quê?'}"
"{'tr': 'Tamam sunacığım evleneceksin biraz sakin ol ya.', 'pt': 'Kresse!'}"
"{'tr': 'Bak Sinancığım sana bir lafım var.', 'pt': 'Zehra!'}"
"{'tr': 'Sen al şunu bir giy evlendikten sonra benim kocamı bir hafta rahat bırakıyorsun tamam mı?', 'pt': 'Zehra!'}"
"{'tr': 'Senin kocan rahat tamam mı yani bir daha söylemek istemiyorum.', 'pt': 'Uma vez que você enfrenta a morte, você se torna outra pessoa.'}"
"{'tr': 'Abidin kimseden izin almasına gerek yok.', 'pt': 'O que você achou que nunca aconteceria, acontece.'}"
"{'tr': 'Çünkü bu adam şirkettekilere izin veriyor zaten o yüzden kendine de izin verebilir diye düşünüyorum.', 'pt': 'Enquanto digo que não consigo respirar sem você, percebo que, na verdade, estou me afogando com você.'}"
"{'tr': 'Verdim gitti ya.', 'pt': 'E isso só se aprende sendo uma nova pessoa.'}"
"{'tr': 'Hadi.', 'pt': 'É aí que,'}"
"{'tr': 'İyi evet hadi.', 'pt': 'não é aquele que te afoga,'}"
"{'tr': 'Sinan.', 'pt': 'mas alguém que te dá fôlego que entra na sua vida.'}"
"{'tr': 'Ne oldu?', 'pt': 'Ele existiu, meu amor?'}"
"{'tr': ""İstanbul'a dönmek istemiyorum ben abla."", 'pt': 'Ragıp, você acha que deveria estar comigo?'}"
"{'tr': 'Niye diye soramıyorum haklısın tabi.', 'pt': 'Por quê, por quê?'}"
"{'tr': ""İstanbul'da çok zor şeyler yaşadık hayatım."", 'pt': 'Você não pode me deixar, e eu não posso te deixar.'}"
"{'tr': 'Ama sen artık eski seyren değilsin.', 'pt': 'Irmã, você é uma criança?'}"
"{'tr': 'Büyüdün, güçlendin.', 'pt': 'Se entra no mar na última hora, meu bem?'}"
"{'tr': 'Ya şu iki senede neler yaptın ya.', 'pt': 'Você vai entrar no carro molhada.'}"
"{'tr': 'Elini tuttuğun harika bir adam var.', 'pt': 'Ai, tá bom irmã, eu vou.'}"
"{'tr': ""Yani artık sen İstanbul'dan korkma İstanbul senden korksun."", 'pt': 'Deus, Deus.'}"
"{'tr': ""Sinan İstanbul'a döndüğümüze bir ferite uğrayacağım."", 'pt': 'Meu amor.'}"
"{'tr': 'Haberin olsun yani.', 'pt': 'Meu amor.'}"
"{'tr': 'O da mı gelecek?', 'pt': 'Você resolveu tudo? Está tudo pronto? Cabe tudo?'}"
"{'tr': 'Yok.', 'pt': 'Falta pouco, meu amor.'}"
"{'tr': 'Sanmıyorum. Yani düğüne gelmez.', 'pt': 'Não acredito. Ele não vem para o casamento.'}"
"{'tr': 'Ama yıllarım var benim onda. Davet etmezsem olmaz yani.', 'pt': 'Mas eu tenho muitos anos com ele.'}"
"{'tr': 'Doğrudur.', 'pt': 'Não posso deixar de convidá-lo.'}"
"{'tr': 'Ama işte işin içine ferit girince insanın canı sıkılıyor evvel bir de.', 'pt': 'É verdade.'}"
"{'tr': 'Hak ver bana biraz. Sonuçta evli ve verdik.', 'pt': 'Mas quando Ferit está envolvido, dá uma certa agonia, meu irmão.'}"
"{'tr': 'Neyse. Önemi yok bunun. Boş ver gitsin.', 'pt': 'Me dê um pouco de razão. Ele é casado, afinal.'}"
"{'tr': 'Büyüğün senin düğünün abiciğim. İstediğin gibi istediğin her şeyi yapabilirsin.', 'pt': 'Enfim. Isso não importa. Deixa pra lá.'}"
"{'tr': 'Kimseye de sormak zorunda değilsin. Ben bir şey söyleyemem.', 'pt': 'Você é quem está se casando, meu irmão.'}"
"{'tr': 'Canın ne istiyorsa onu yap.', 'pt': 'Você pode fazer o que quiser, como quiser.'}"
